Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510.0,316.0,321.0,1147.0,BBB,High,382.3333333333333,Low Risk,0.5973025048169556,0.30769230769230776,0.615,0.5844017094017094,935.2608695652174,211.73913043478262
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510.0,303.0,255.0,1068.0,BBB,High,356.0,Medium Risk,0.5973025048169556,0.2820512820512821,0.45000000000000007,0.5000000000000001,859.25,208.75
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255.0,385.0,240.0,880.0,BB,Medium,293.3333333333333,Medium Risk,0.10597302504816952,0.4437869822485207,0.4125,0.2991452991452992,885.2,-5.2000000000000455
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570.0,298.0,303.0,1171.0,BBB,High,390.3333333333333,Low Risk,0.7129094412331407,0.27218934911242604,0.5700000000000001,0.6100427350427352,945.55,225.45000000000005
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492.0,310.0,250.0,1052.0,BBB,High,350.6666666666667,Medium Risk,0.5626204238921002,0.2958579881656805,0.4375,0.48290598290598286,935.2608695652174,116.73913043478262
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547.0,318.0,313.0,1178.0,BBB,High,392.6666666666667,Low Risk,0.6685934489402698,0.3116370808678501,0.595,0.6175213675213677,918.8636363636364,259.1363636363636
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560.0,350.0,345.0,1255.0,A,High,418.3333333333333,Low Risk,0.6936416184971099,0.3747534516765287,0.675,0.6997863247863249,945.55,309.45000000000005
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203.0,200.0,205.0,608.0,B,Medium,202.66666666666666,High Risk,0.005780346820809246,0.07889546351084814,0.32499999999999996,0.008547008547008517,739.3333333333334,-131.33333333333337
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270.0,211.0,265.0,746.0,B,Medium,248.66666666666666,High Risk,0.13487475915221575,0.10059171597633138,0.475,0.15598290598290598,838.7142857142857,-92.71428571428567
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220.0,221.0,300.0,741.0,B,Medium,247.0,High Risk,0.03853564547206162,0.1203155818540434,0.5625,0.15064102564102566,1012.3703703703703,-271.3703703703703
