Ticker,Company,Currency,Exchange,industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation,twitter_esg_sentiment,Sentiment Score,avg_deforestation,avg_air_pollution,3_month_MA,6_month_MA,ESG_Change_3m,ESG_Change_6m,Env_Score_Lag_1,Soc_Score_Lag_1,Weighted_ESG_Score,Greenwashing_Risk
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510.0,316.0,321.0,1147.0,BBB,High,382.3333333333333,Low Risk,0.5973025048169556,0.3076923076923077,0.615,0.5844017094017094,935.2608695652174,211.73913043478265,0.3327326086956522,0.0955555555555555,,,,,,,,,395.1,1
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510.0,303.0,255.0,1068.0,BBB,High,356.0,Medium Risk,0.5973025048169556,0.2820512820512821,0.45,0.5000000000000001,859.25,208.75,,,,,,,,,510.0,316.0,371.4,0
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255.0,385.0,240.0,880.0,BB,Medium,293.3333333333333,Medium Risk,0.1059730250481695,0.4437869822485207,0.4125,0.2991452991452992,885.2,-5.2000000000000455,0.2382,0.3182,,,1031.6666666666667,,,,510.0,303.0,289.5,1
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570.0,298.0,303.0,1171.0,BBB,High,390.3333333333333,Low Risk,0.7129094412331407,0.272189349112426,0.5700000000000001,0.6100427350427352,945.55,225.45000000000005,0.5719,,,,1039.6666666666667,,0.020924149956408122,,255.0,385.0,408.29999999999995,0
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492.0,310.0,250.0,1052.0,BBB,High,350.6666666666667,Medium Risk,0.5626204238921002,0.2958579881656805,0.4375,0.4829059829059828,935.2608695652174,116.73913043478262,0.3327326086956522,0.0955555555555555,,,1034.3333333333333,,-0.014981273408239737,,570.0,298.0,364.8,1
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547.0,318.0,313.0,1178.0,BBB,High,392.6666666666667,Low Risk,0.6685934489402698,0.3116370808678501,0.595,0.6175213675213677,918.8636363636364,259.1363636363636,,,,,1133.6666666666667,1082.6666666666667,0.3386363636363636,,492.0,310.0,408.09999999999997,0
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560.0,350.0,345.0,1255.0,A,High,418.3333333333333,Low Risk,0.6936416184971099,0.3747534516765287,0.675,0.6997863247863249,945.55,309.45000000000005,0.5719,,,,1161.6666666666667,1100.6666666666667,0.07173356105892403,0.0941586748038361,547.0,318.0,432.5,0
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203.0,200.0,205.0,608.0,B,Medium,202.66666666666663,High Risk,0.0057803468208092,0.0788954635108481,0.3249999999999999,0.0085470085470085,739.3333333333334,-131.33333333333337,,,,,1013.6666666666666,1024.0,-0.42205323193916355,-0.43071161048689144,560.0,350.0,202.7,0
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270.0,211.0,265.0,746.0,B,Medium,248.66666666666663,High Risk,0.1348747591522157,0.1005917159763313,0.475,0.1559829059829059,838.7142857142857,-92.71428571428568,,,,,869.6666666666666,1001.6666666666666,-0.366723259762309,-0.15227272727272723,203.0,200.0,250.8,0
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220.0,221.0,300.0,741.0,B,Medium,247.0,High Risk,0.0385356454720616,0.1203155818540434,0.5625,0.1506410256410256,1012.3703703703704,-271.3703703703703,,,,,698.3333333333334,930.0,-0.40956175298804776,-0.3672075149444919,270.0,211.0,244.3,0
