Source,Headline,Link,Sentiment Score,Sentiment Label,extracted_companies,cleaned_text_news,sentiment_news,created_at,text,sentiment_score,sentiment_label,cleaned_text_twitter,sentiment_twitter
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:28:01+00:00,"RT @tyrannideris: Capitalism didn’t fail—you did. 

You begged the state to cripple competition, to smother small businesses under the weig…",-0.4215,Negative,rt tyrannideris capitalism didnt failyou begged state cripple competition smother small businesses weig,negative
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:26:54+00:00,"RT @ourhermitage: They will all switch eventually! Influencer fatigue is already setting in, especially in the cosmetics industry. The shif…",-0.3164,Negative,rt ourhermitage switch eventually influencer fatigue already setting especially cosmetics industry shif,negative
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:25:33+00:00,"Agriculture remains the backbone of Kenya’s economy, but #climatechange threatens its #sustainability especially in the Lake Region Economic Bloc (LREB). The region has some levels of #vulnerability as articulated under the (FAO's Climate Risk Assessment Framework): https://t.co/uDskFsT9zX",-0.7227,Negative,agriculture remains backbone kenyas economy climatechange threatens sustainability especially lake region economic bloc lreb region levels vulnerability articulated faos climate risk assessment framework,negative
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:24:03+00:00,"RT @comentandojogo: Why do most DeFi projects fail? Lack of sustainability. $HODL cracked the code—real rewards, real security, and long-te…",-0.144,Negative,rt comentandojogo defi projects fail lack sustainability hodl cracked codereal rewards real security longte,negative
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:22:13+00:00,"RT @tyrannideris: Capitalism didn’t fail—you did. 

You begged the state to cripple competition, to smother small businesses under the weig…",-0.4215,Negative,rt tyrannideris capitalism didnt failyou begged state cripple competition smother small businesses weig,negative
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive,[],esg investments actually profitable,positive,2025-03-12 11:22:13+00:00,"RT @tyrannideris: Capitalism didn’t fail—you did. 

You begged the state to cripple competition, to smother small businesses under the weig…",-0.4215,Negative,rt tyrannideris capitalism didnt failyou begged state cripple competition smother small businesses weig,negative
Google Finance,Exploring the Growth of ESG Mutual Funds: A Path to Sustainable Investing,https://www.bizzbuzz.news/wealth/mutual-funds/exploring-the-growth-of-esg-mutual-funds-a-path-to-sustainable-investing-1353807,0.3818,Positive,[],exploring growth esg mutual funds path sustainable investing,positive,2025-03-12 11:28:01+00:00,"RT @tyrannideris: Capitalism didn’t fail—you did. 

You begged the state to cripple competition, to smother small businesses under the weig…",-0.4215,Negative,rt tyrannideris capitalism didnt failyou begged state cripple competition smother small businesses weig,negative
Google Finance,Exploring the Growth of ESG Mutual Funds: A Path to Sustainable Investing,https://www.bizzbuzz.news/wealth/mutual-funds/exploring-the-growth-of-esg-mutual-funds-a-path-to-sustainable-investing-1353807,0.3818,Positive,[],exploring growth esg mutual funds path sustainable investing,positive,2025-03-12 11:26:54+00:00,"RT @ourhermitage: They will all switch eventually! Influencer fatigue is already setting in, especially in the cosmetics industry. The shif…",-0.3164,Negative,rt ourhermitage switch eventually influencer fatigue already setting especially cosmetics industry shif,negative
Google Finance,Exploring the Growth of ESG Mutual Funds: A Path to Sustainable Investing,https://www.bizzbuzz.news/wealth/mutual-funds/exploring-the-growth-of-esg-mutual-funds-a-path-to-sustainable-investing-1353807,0.3818,Positive,[],exploring growth esg mutual funds path sustainable investing,positive,2025-03-12 11:25:33+00:00,"Agriculture remains the backbone of Kenya’s economy, but #climatechange threatens its #sustainability especially in the Lake Region Economic Bloc (LREB). The region has some levels of #vulnerability as articulated under the (FAO's Climate Risk Assessment Framework): https://t.co/uDskFsT9zX",-0.7227,Negative,agriculture remains backbone kenyas economy climatechange threatens sustainability especially lake region economic bloc lreb region levels vulnerability articulated faos climate risk assessment framework,negative
Google Finance,Exploring the Growth of ESG Mutual Funds: A Path to Sustainable Investing,https://www.bizzbuzz.news/wealth/mutual-funds/exploring-the-growth-of-esg-mutual-funds-a-path-to-sustainable-investing-1353807,0.3818,Positive,[],exploring growth esg mutual funds path sustainable investing,positive,2025-03-12 11:24:03+00:00,"RT @comentandojogo: Why do most DeFi projects fail? Lack of sustainability. $HODL cracked the code—real rewards, real security, and long-te…",-0.144,Negative,rt comentandojogo defi projects fail lack sustainability hodl cracked codereal rewards real security longte,negative
