Ticker,Company,Currency,Exchange,industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation,twitter_esg_sentiment,Sentiment Score,dominant_topic,topic_esg_impact,Date,avg_deforestation,avg_air_pollution,avg_water_quality_B3,avg_water_quality_B4,avg_water_quality_B5,environmental_deviation_score,avg_deforestation_normalized,avg_air_pollution_normalized,avg_water_quality_B3_normalized,avg_water_quality_B4_normalized,avg_water_quality_B5_normalized
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510.0,316.0,321.0,1147.0,BBB,High,382.3333333333333,Low Risk,0.5973025048169556,0.3076923076923077,0.615,0.5844017094017094,935.2608695652174,211.73913043478265,0.3327326086956522,0.0955555555555555,,,,,,,,,,,,,,
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510.0,303.0,255.0,1068.0,BBB,High,356.0,Medium Risk,0.5973025048169556,0.2820512820512821,0.45,0.5000000000000001,859.25,208.75,,,,,,,,,,,,,,,,
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255.0,385.0,240.0,880.0,BB,Medium,293.3333333333333,Medium Risk,0.1059730250481695,0.4437869822485207,0.4125,0.2991452991452992,885.2,-5.2000000000000455,0.2382,0.3182,,,,,,,,,,,,,,
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570.0,298.0,303.0,1171.0,BBB,High,390.3333333333333,Low Risk,0.7129094412331407,0.272189349112426,0.5700000000000001,0.6100427350427352,945.55,225.45000000000005,0.5719,,,,,,,,,,,,,,,
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492.0,310.0,250.0,1052.0,BBB,High,350.6666666666667,Medium Risk,0.5626204238921002,0.2958579881656805,0.4375,0.4829059829059828,935.2608695652174,116.73913043478262,0.3327326086956522,0.0955555555555555,,,,,,,,,,,,,,
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547.0,318.0,313.0,1178.0,BBB,High,392.6666666666667,Low Risk,0.6685934489402698,0.3116370808678501,0.595,0.6175213675213677,918.8636363636364,259.1363636363636,,,,,,,,,,,,,,,,
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560.0,350.0,345.0,1255.0,A,High,418.3333333333333,Low Risk,0.6936416184971099,0.3747534516765287,0.675,0.6997863247863249,945.55,309.45000000000005,0.5719,,,,,,,,,,,,,,,
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203.0,200.0,205.0,608.0,B,Medium,202.66666666666663,High Risk,0.0057803468208092,0.0788954635108481,0.3249999999999999,0.0085470085470085,739.3333333333334,-131.33333333333337,,,,,,,,,,,,,,,,
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270.0,211.0,265.0,746.0,B,Medium,248.66666666666663,High Risk,0.1348747591522157,0.1005917159763313,0.475,0.1559829059829059,838.7142857142857,-92.71428571428568,,,,,,,,,,,,,,,,
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220.0,221.0,300.0,741.0,B,Medium,247.0,High Risk,0.0385356454720616,0.1203155818540434,0.5625,0.1506410256410256,1012.3703703703704,-271.3703703703703,,,,,,,,,,,,,,,,
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,BB,Medium,B,Medium,B,Medium,311.0,256.0,218.0,785.0,BB,Medium,261.6666666666667,High Risk,0.2138728323699422,0.1893491124260355,0.3575,0.1976495726495727,938.2222222222222,-153.22222222222217,,,,,,,,,,,,,,,,
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,A,High,BB,Medium,B,Medium,500.0,300.0,223.0,1023.0,BBB,High,341.0,Medium Risk,0.5780346820809248,0.2761341222879684,0.37,0.451923076923077,1074.2,-51.200000000000045,0.6278666666666667,,,,,,,,,,,,,,,
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,355.0,281.0,255.0,891.0,BB,Medium,297.0,Medium Risk,0.2986512524084778,0.2386587771203156,0.45,0.3108974358974359,1031.3174603174602,-140.31746031746025,0.25,,,,,,,,,,,,,,,
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BBB,High,B,Medium,B,Medium,410.0,286.0,240.0,936.0,BBB,High,312.0,Medium Risk,0.4046242774566473,0.2485207100591716,0.4125,0.3589743589743589,933.0,3.0,,,,,,,,,,,,,,,,
aaww,Atlas Air Worldwide Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,B,Medium,B,Medium,520.0,243.0,237.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.6165703275529866,0.1637080867850098,0.405,0.4273504273504275,1025.1666666666667,-25.166666666666742,,,,,,,,,,,,,,,,
aaci,Armada Acquisition Corp I,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,205.0,200.0,200.0,605.0,B,Medium,201.66666666666663,High Risk,0.0096339113680153,0.0788954635108481,0.3125,0.0053418803418803,709.3076923076923,-104.30769230769226,,,,,,,,,,,,,,,,
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200.0,201.0,203.0,604.0,B,Medium,201.33333333333337,High Risk,0.0,0.0808678500986193,0.32,0.0042735042735042,866.9107142857143,-262.91071428571433,,,,,2019-01-09,,-2.4116277838692253e-05,,,,,,0.0,,,
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200.0,201.0,203.0,604.0,B,Medium,201.33333333333337,High Risk,0.0,0.0808678500986193,0.32,0.0042735042735042,866.9107142857143,-262.91071428571433,,,,,2022-03-06,22.42469594884984,,,,,,0.0,,,,
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,205.0,306.0,310.0,821.0,BB,Medium,273.6666666666667,High Risk,0.0096339113680153,0.2879684418145957,0.5875,0.2361111111111111,866.9107142857143,-45.910714285714334,,,,,,,,,,,,,,,,
